PID,group,gender,age,SWS,abi_average,math_average,BF_Gew,BF_Ext,BF_Neu,BF_Ver,BF_Off,procrastination,SELLMO_LZ,SELLMO_AL,SELLMO_VL,SELLMO_AV,nfc,second_try,prior_knowledge,entrance_certificate,study_program,semester,financing_parents,financing_bafoeg,financing_scholarship,financing_job,financing_others
668,A,weiblich,20,16,2.0,8,18,14,15,15,16,17,38,28,26,15,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
670,B,weiblich,20,16,1.8,12,18,16,15,17,16,13,39,21,22,15,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,TRUE
671,A,weiblich,34,10,1.6,NA,19,13,10,18,20,21,40,19,10,10,6.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,keine; die Zulassung erfolgte durch Eignungs- oder eine Begabtenprüfung,Bachelor Sekundarstufe,3,FALSE,FALSE,TRUE,FALSE,TRUE
672,B,weiblich,21,16,2.9,6,16,20,8,20,21,29,36,15,17,18,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Europalehramt Sekundarstufe,5,FALSE,TRUE,FALSE,FALSE,FALSE
674,A,männlich,31,6,2.7,2,16,9,12,18,14,26,36,30,22,24,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,6,FALSE,FALSE,FALSE,FALSE,FALSE
675,B,weiblich,20,18,2.7,9,15,14,21,20,16,25,37,14,11,30,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
676,B,weiblich,19,12,1.7,NA,15,21,9,13,18,14,32,24,33,24,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Europalehramt Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
678,B,männlich,31,10,3.4,1,15,10,17,19,14,26,35,17,12,17,5.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,5,FALSE,FALSE,FALSE,TRUE,FALSE
679,B,weiblich,20,18,2.3,6,14,9,19,20,19,29,37,16,21,17,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Europalehramt Primarstufe,3,TRUE,TRUE,FALSE,TRUE,FALSE
680,A,weiblich,20,19,3.0,NA,16,16,18,21,16,24,34,27,22,21,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
685,B,männlich,22,24,1.9,9,18,18,7,17,12,21,39,15,9,15,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
686,B,weiblich,22,5,2.5,7,10,16,11,20,11,25,30,18,17,14,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,TRUE,TRUE,FALSE,FALSE
688,B,weiblich,21,10,3.0,2,14,13,16,18,17,26,34,20,16,19,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
689,A,weiblich,22,13,2,5,19,18,11,18,10,17,25,15,14,24,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Fachgebundene Hochschulreife,Bachelor Sekundarstufe,4,FALSE,FALSE,FALSE,TRUE,FALSE
690,A,weiblich,23,20,3.0,7,16,13,15,20,14,28,30,15,15,20,3.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,4,TRUE,FALSE,FALSE,TRUE,FALSE
691,B,männlich,19,21,2.0,9,15,15,9,20,11,25,39,17,24,17,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
692,A,weiblich,20,10,2.5,6,17,20,18,19,17,28,30,23,28,31,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,TRUE,FALSE,FALSE,FALSE
694,B,weiblich,20,16,2.0,7,18,16,12,16,9,12,33,22,16,16,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
695,A,männlich,21,16,2.3,14,7,16,11,13,13,29,34,22,17,24,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
696,B,männlich,24,7,1.7,7,15,15,17,14,14,17,35,22,32,24,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
697,B,weiblich,20,30,1.8,12,14,16,16,18,16,23,30,22,21,30,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
699,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
700,B,weiblich,20,22,1.8,7,17,20,13,19,14,24,36,22,10,9,3.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
702,A,weiblich,21,12,1.7,9,14,20,9,11,13,26,35,12,21,21,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,FALSE,TRUE,FALSE,TRUE,FALSE
