PID,group,gender,age,SWS,abi_average,math_average,BF_Gew,BF_Ext,BF_Neu,BF_Ver,BF_Off,procrastination,SELLMO_LZ,SELLMO_AL,SELLMO_VL,SELLMO_AV,nfc,second_try,prior_knowledge,entrance_certificate,study_program,semester,financing_parents,financing_bafoeg,financing_scholarship,financing_job,financing_others
750,A,weiblich,19,24,2.6,9,21,13,21,21,14,9,40,19,10,11,5.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
752,A,weiblich,20,15,1.8,12,15,21,18,15,21,17,40,24,11,15,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,TRUE
753,A,weiblich,21,20,2.0,5,18,17,9,19,11,18,32,20,18,21,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
754,B,weiblich,23,20,2.9,6,14,8,15,18,18,30,30,14,17,26,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,5,TRUE,FALSE,FALSE,TRUE,FALSE
755,B,weiblich,20,15,2.0,12,17,21,13,20,12,22,28,16,22,27,2.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,TRUE,FALSE,TRUE,FALSE
756,B,männlich,21,22,2.5,10,11,7,14,17,16,36,34,8,20,23,6.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
757,A,weiblich,22,16,2.8,0,13,16,19,18,11,31,35,32,28,17,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
758,A,weiblich,20,15,2.5,9,15,20,6,16,13,18,35,19,15,14,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,TRUE
759,A,männlich,23,5,2.6,4,7,8,16,17,10,33,25,18,24,29,2,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,TRUE
760,A,männlich,21,16,2.5,10,17,19,12,16,16,25,34,22,15,26,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,TRUE,FALSE,FALSE,FALSE
761,B,männlich,19,14,1.7,9,14,15,14,15,13,21,32,13,26,23,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
762,B,weiblich,20,16,1.5,7,11,18,10,18,19,22,31,17,21,25,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
763,A,männlich,21,20,1.8,7,14,15,18,17,16,19,32,25,24,22,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,FALSE,FALSE,FALSE,FALSE,FALSE
764,A,weiblich,21,12,2.0,4,12,15,19,18,21,30,31,15,16,15,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Europalehramt Primarstufe,3,TRUE,FALSE,FALSE,FALSE,TRUE
765,B,weiblich,20,24,1.9,9,19,12,18,18,12,19,28,26,27,17,2.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,FALSE,FALSE,TRUE,TRUE
766,B,weiblich,21,18,3.0,1,20,18,17,20,17,15,36,33,32,16,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,FALSE,FALSE,TRUE,FALSE
767,B,weiblich,25,24,2.4,5,16,17,19,17,14,24,32,18,24,31,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,FALSE,FALSE,TRUE,FALSE
768,B,männlich,22,12,2.7,6,12,20,10,17,16,31,36,21,25,15,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
769,A,weiblich,21,20,2.5,5,15,19,18,18,12,21,36,21,19,20,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
770,B,weiblich,23,9,3.0,2,12,17,17,17,15,25,33,21,20,14,2.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,TRUE
771,A,divers,19,24,1.8,9,11,20,12,19,18,35,24,22,39,39,1.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
772,A,weiblich,25,9,3.1,NA,10,16,13,21,16,27,33,23,25,27,2.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
773,A,männlich,22,20,2.6,10,15,20,16,15,15,20,33,18,9,11,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,2,TRUE,FALSE,FALSE,FALSE,FALSE
774,A,weiblich,21,10,1.7,9,18,14,13,18,15,19,38,13,14,15,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,FALSE,FALSE,FALSE,FALSE
775,B,weiblich,23,20,1.3,11,18,9,12,14,16,21,33,23,20,16,5.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,TRUE,FALSE,TRUE,FALSE
776,B,männlich,22,18,2.6,6,14,16,6,15,15,22,31,21,21,27,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
777,B,weiblich,21,14,2.0,2,18,16,19,18,11,21,27,19,23,21,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
778,B,weiblich,26,20,2.0,NA,18,19,10,18,17,18,37,11,12,14,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Fachhochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
779,A,weiblich,23,18,2.0,12,16,12,16,18,11,27,33,27,26,26,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,5,TRUE,FALSE,FALSE,TRUE,FALSE
780,B,männlich,24,30,3.4,4,13,15,12,20,15,27,30,25,27,26,2.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,FALSE,TRUE,FALSE,FALSE,FALSE
781,A,weiblich,21,18,2.5,NA,17,18,15,19,7,15,28,18,31,16,2.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
783,A,weiblich,22,14,1.8,6,19,12,18,19,13,21,40,24,17,16,6,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
784,A,weiblich,20,13,2.2,8,19,17,13,18,17,27,34,24,22,21,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,TRUE,FALSE,TRUE,FALSE
785,B,weiblich,21,11,2.1,4,18,13,12,17,15,18,35,19,19,21,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
786,B,weiblich,23,30,1.3,12,15,19,6,20,19,26,35,22,20,23,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
787,A,männlich,20,14,3.1,3,21,9,9,17,14,9,31,22,24,24,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
788,A,weiblich,24,12,2.5,2,13,20,8,18,18,28,38,16,12,15,5.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Fachhochschulreife,Bachelor Sekundarstufe,3,FALSE,TRUE,FALSE,TRUE,FALSE
789,A,männlich,22,12,2.5,5,12,13,12,15,13,26,34,25,24,31,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Fachhochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
790,A,männlich,23,18,3.0,NA,15,18,13,18,18,20,33,15,8,22,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Europalehramt Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
791,A,weiblich,19,15,2.3,3,14,17,19,19,20,27,35,18,16,21,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Europalehramt Primarstufe,3,FALSE,FALSE,FALSE,TRUE,FALSE
792,B,weiblich,21,16,1.6,NA,15,15,11,11,17,24,35,19,15,13,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
793,B,weiblich,19,16,1.1,9,14,16,18,10,16,31,35,26,12,11,5.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Europalehramt Primarstufe,3,TRUE,FALSE,TRUE,TRUE,FALSE
794,A,weiblich,21,9,2.2,7,21,17,8,21,14,14,38,23,19,14,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
795,A,weiblich,20,7,2.1,7,12,21,15,16,9,24,37,22,19,30,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
796,B,weiblich,21,17,1.3,13,8,11,11,16,15,31,33,19,29,23,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
797,A,weiblich,20,18,1.3,13,13,12,17,17,12,22,29,22,30,25,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Fachgebundene Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
798,A,weiblich,20,10,2.5,5,13,12,18,7,10,18,27,15,25,22,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Europalehramt Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
799,A,weiblich,21,26,2.9,1,11,18,10,18,21,34,38,17,24,10,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,TRUE,FALSE,TRUE,FALSE
800,B,weiblich,20,24,2.2,NA,16,9,20,21,9,22,31,19,27,14,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
801,A,männlich,25,6,3.3,7,8,15,12,19,12,23,21,16,18,21,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,8,FALSE,FALSE,FALSE,FALSE,TRUE
803,B,weiblich,20,22,2.4,7,12,14,13,19,17,23,40,12,22,15,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
804,A,weiblich,19,26,2.3,13,15,9,17,17,15,30,33,30,38,29,2,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
805,A,weiblich,21,18,1.9,11,18,11,11,18,13,18,35,14,14,14,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
806,B,männlich,20,16,1.6,11,11,12,13,19,17,28,33,18,16,15,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
807,B,weiblich,25,14,1.8,10,15,12,7,21,18,30,34,14,8,18,5.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
808,A,männlich,21,15,2.7,5,16,16,7,16,16,24,33,17,18,16,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
809,A,weiblich,20,20,3.1,NA,15,10,18,16,15,17,36,21,22,15,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
810,B,weiblich,20,12,1.7,7,17,16,15,18,16,21,36,17,8,9,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
811,B,weiblich,19,8,2.0,8,12,11,19,16,19,33,30,19,28,27,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,TRUE,FALSE,TRUE,FALSE
812,A,weiblich,20,20,2.0,13,14,18,13,18,17,26,32,21,14,17,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,TRUE,FALSE,FALSE,FALSE
813,B,männlich,27,15,3.0,6,11,20,9,12,10,32,34,26,15,23,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
815,A,weiblich,20,24,1.3,10,13,16,15,19,15,32,35,21,26,22,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
816,A,weiblich,20,18,2.0,8,20,6,12,14,17,13,33,13,18,14,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,TRUE
817,A,weiblich,21,10,2.9,3,17,10,18,20,16,33,34,27,31,26,3.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
818,B,weiblich,21,11,2.6,1,15,18,11,16,14,21,35,18,11,15,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
819,B,weiblich,24,14,3.0,6,10,17,17,18,11,26,27,12,8,16,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
820,A,männlich,21,20,2.6,NA,12,18,16,16,14,25,28,24,28,26,3.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
821,A,weiblich,22,16,2.8,NA,17,12,17,19,12,21,32,21,24,23,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
822,B,weiblich,20,9,2.1,8,18,11,17,19,12,18,32,24,19,18,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,33,FALSE,FALSE,FALSE,FALSE,TRUE
823,B,männlich,27,20,2.4,10,13,17,5,18,13,21,37,17,11,15,6.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
824,B,männlich,20,12,2.5,5,7,11,9,14,16,13,26,22,17,16,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,FALSE,FALSE,FALSE,FALSE,TRUE
825,A,männlich,19,20,3.1,5,13,12,15,16,11,17,30,22,24,22,3.25,"Ja, ich habe bereits an der Klausur teilgenommen.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
826,B,weiblich,37,9,3.4,NA,19,17,8,18,18,27,31,24,20,24,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,FALSE,FALSE,FALSE,FALSE,TRUE
827,A,männlich,22,13,1.5,NA,18,17,14,19,21,15,36,18,15,17,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
828,B,weiblich,20,22,1.7,8,19,13,9,21,19,23,36,20,24,19,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
829,A,weiblich,22,12,2.7,NA,18,13,14,21,14,19,37,22,20,21,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,FALSE,FALSE,FALSE,TRUE
830,B,weiblich,23,18,3.3,3,11,11,19,16,17,30,30,19,26,25,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
831,B,weiblich,21,8,1.8,9,14,13,19,19,15,20,40,17,17,10,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
832,B,weiblich,22,16,2.2,4,19,19,20,17,16,17,35,24,22,22,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
833,B,männlich,23,11,3.2,NA,10,19,9,21,11,26,30,15,10,18,5.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Fachhochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
834,A,weiblich,22,20,2.1,12,14,18,19,17,14,26,31,15,27,21,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Fachhochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
835,B,männlich,24,22,2.4,8,16,16,13,20,15,21,34,20,15,15,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
837,A,männlich,25,20,2.8,4,13,12,11,14,12,23,32,23,18,18,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,FALSE,FALSE,FALSE,TRUE,FALSE
838,B,weiblich,20,18,2.4,5,15,13,19,16,11,27,38,23,26,17,2.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,TRUE,FALSE,TRUE,FALSE
839,A,männlich,23,20,3.0,5,14,18,14,19,18,20,35,32,26,20,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
840,B,weiblich,20,20,2.4,7,18,15,13,19,12,16,28,24,18,17,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
841,B,weiblich,22,20,2.2,2,16,12,14,17,11,19,36,19,8,8,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,FALSE,TRUE,FALSE,TRUE,TRUE
842,B,weiblich,21,20,2.8,NA,15,18,11,19,17,23,38,24,19,19,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
843,A,weiblich,21,18,2.2,12,19,12,21,19,9,23,33,27,13,13,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
844,B,männlich,21,19,2.7,6,18,20,6,21,19,30,39,21,20,16,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
845,B,weiblich,20,20,2.3,NA,12,6,18,18,18,31,36,18,25,25,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Europalehramt Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
846,B,weiblich,26,13,2.7,NA,21,13,7,20,16,21,33,24,24,19,5.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
847,B,männlich,33,34,2,NA,11,8,16,17,20,30,16,22,28,22,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr überdurchschnittlich,Meister/Techniker/Betriebswirt,Bachelor Europalehramt Sekundarstufe,3,FALSE,FALSE,FALSE,FALSE,TRUE
848,B,weiblich,20,20,2.2,7,15,11,12,19,20,26,36,21,25,22,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
849,B,weiblich,21,9,2.3,9,17,13,20,20,15,27,35,18,16,16,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,TRUE,FALSE,FALSE,FALSE
850,B,weiblich,22,20,2.7,NA,18,21,20,21,15,24,36,16,10,10,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Fachhochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
